512 96,;
64 384,
32 224,
64 224,
128 224,
160 224,
160 256,
160 320,
160 352,
128 352,
64 352,
32 352,
32 320,
32 288,
32 256,
448 64,
448 32,
480 32,
512 32,
544 32,
576 32,
576 64,
576 96,
576 128,
576 160,
544 160,
480 160,
448 160,
448 128,
288 288,;
160 32,
128 32,
96 32,
64 32,
32 32,
32 64,
32 96,
32 128,
32 160,
64 160,
128 160,
160 160,
160 128,
160 64,
64 192,
128 192,
352 416,
320 416,
256 416,
256 448,
320 448,
224 416,
192 416,
160 416,
128 416,
96 416,
64 416,
512 384,;
448 320,
448 352,
448 416,
448 448,
480 448,
512 448,
544 448,
576 448,
576 416,
576 384,
576 320,
576 352,
544 320,
480 320,
416 352,
384 352,
384 416,
416 416,
96 288,
256 160,
320 160,
416 64,
384 64,
352 64,
320 64,
288 64,
256 64,
224 64,
416 128,
384 128,
352 128,
320 128,
256 128,
224 128,
192 128,
192 64,;
224 224,
256 224,
320 224,
352 224,
352 256,
352 320,
352 352,
320 352,
288 352,
256 352,
224 352,
224 320,
224 256,
256 192,
320 192,
192 256,
192 320,
480 192,
544 192,
480 224,
544 224,
480 256,
544 256,
544 288,
480 288,
96 96,
192 352,
352 288,
