64 64,;
128 96,
96 32,
64 160,
32 96,
0 128,
32 224,
0 192,
128 224,
192 192,
192 128,
192 64,
128 32,
160 0,
224 0,
256 64,
256 128,
256 192,
224 256,
224 288,
160 288,
96 288,
256 256,
0 256,
0 416,
64 448,
64 384,
128 448,
128 416,
128 384,
96 352,
160 352,
224 352,
288 352,
320 320,
320 256,
320 192,
384 192,
384 256,
352 352,
384 352,
448 352,
448 320,
448 160,
512 160,
576 160,
576 192,
576 256,
576 288,
544 320,
544 384,
544 448,
480 384,
480 448,
320 64,
416 96,
352 160,
352 0,
480 0,
544 64,
608 192,
576 384,
416 416,
320 448,
256 416,;
128 128,
64 96,
256 160,
128 288,
192 352,
0 320,
0 224,
320 128,
448 64,
320 32,
512 32,
608 128,
608 288,
384 224,
480 320,
480 352,
544 160,
256 288,
320 352,
288 416,
416 448,
192 416,
64 352,
256 32,
512 128,
608 448,
0 0,;
32 64,
128 64,
192 0,
256 96,
192 160,
96 224,
0 160,
0 288,
0 384,
128 352,
256 352,
192 288,
352 192,
480 160,
576 224,
576 320,
416 352,
544 416,
352 416,
224 448,
352 96,
416 32,
544 96,
576 32,
608 416,
256 224,
96 448,;
64 32,
128 0,
256 0,
192 96,
64 224,
160 192,
96 160,
288 192,
320 288,
384 288,
544 352,
416 128,
384 32,
480 96,
608 64,
608 224,
608 384,
352 448,
448 384,
224 384,
160 224,
64 288,
32 448,
0 352,
416 160,
480 416,
