32 32,;
0 0,
32 0,
64 0,
0 32,
0 64,
96 0,
0 96,
96 64,
64 96,
96 96,
160 160,
160 192,
192 192,
192 160,
288 288,
288 320,
320 320,
320 288,
384 224,
416 224,
448 224,
448 192,
480 192,
480 160,
480 128,
384 224,
416 224,
448 224,
448 192,
480 192,
480 160,
480 128,
0 384,
0 416,
0 448,
32 448,
64 448,
64 416,
64 384,
0 384,
0 416,
0 448,
32 448,
64 448,
64 416,
64 384,
96 384,
96 416,
96 448,
384 416,
384 448,
448 448,
416 448,
480 448,
480 416,;
0 128,
0 160,
0 192,
0 224,
64 128,
64 224,
384 0,
416 0,
448 0,
480 0,
384 64,
480 64,
384 96,
480 96,
96 128,
96 224,
384 256,
384 288,
384 320,
384 352,
416 352,
448 352,
480 352,
480 320,
480 288,
480 256,
448 256,
416 256,
416 288,
416 320,
448 320,
448 288,
128 416,
160 416,
192 416,
224 416,
224 448,
160 448,
128 448,
192 448,;
128 0,
160 0,
192 0,
224 0,
128 64,
224 64,
128 256,
160 256,
192 256,
224 256,
128 352,
160 352,
192 352,
224 352,
224 320,
224 288,
256 128,
256 160,
256 192,
288 192,
288 224,
320 224,
352 224,
512 0,
544 0,
576 0,
608 0,
608 32,
608 64,
608 96,
512 64,
544 64,
544 96,
608 256,
608 288,
608 320,
608 352,
576 352,
544 352,
512 352,
544 288,
544 256,
128 96,
224 96,;
256 0,
288 0,
320 0,
352 0,
256 64,
352 64,
64 256,
64 352,
0 256,
0 288,
0 320,
0 352,
256 96,
352 96,
96 256,
96 352,
608 128,
608 160,
608 192,
608 224,
544 128,
544 160,
544 192,
544 224,
288 416,
352 416,
320 448,
288 448,
256 448,
352 448,
320 416,
512 416,
544 416,
608 384,
608 416,
608 448,
544 448,
512 448,
