544 64,;
0 416,
32 416,
320 416,
352 416,
0 384,
32 352,
320 352,
160 320,
576 320,
544 288,
576 288,
128 256,
512 256,
288 224,
448 192,
288 128,
0 96,
160 96,
544 96,
0 64,
224 0,
256 0,
544 0,
576 0,;
64 416,
96 416,
128 416,
384 416,
416 416,
448 416,
256 384,
128 352,
192 320,
224 320,
256 320,
384 320,
320 256,
576 256,
192 224,
576 224,
0 192,
352 192,
576 192,
0 160,
0 128,
96 128,
192 128,
384 128,
64 96,
224 64,
320 64,
96 32,
192 32,
128 0,
160 0,
192 0,
448 0,
480 0,
512 0,;
160 416,
192 416,
480 416,
512 416,
544 384,
416 352,
512 352,
96 320,
320 288,
0 256,
224 256,
0 224,
96 224,
384 224,
160 192,
288 192,
320 160,
512 160,
576 160,
576 128,
576 96,
32 64,
384 32,
64 0,
96 0,
384 0,
416 0,;
224 416,
256 416,
288 416,
544 416,
576 416,
448 384,
576 384,
0 352,
0 320,
288 320,
480 320,
0 288,
160 288,
448 288,
32 256,
480 224,
64 192,
256 192,
544 192,
128 160,
224 160,
352 160,
416 160,
480 128,
352 96,
416 64,
512 64,
576 64,
0 32,
576 32,
0 0,
32 0,
288 0,
320 0,
352 0,
