288 224,;
0 0,
32 0,
64 0,
96 0,
160 0,
128 0,
192 0,
224 0,
256 0,
288 0,
320 0,
352 0,
384 0,
416 0,
448 0,
480 0,
512 0,
544 0,
576 0,
608 0,
608 32,
608 64,
608 96,
608 128,
608 160,
608 192,
608 224,
608 256,
608 288,
608 320,
608 352,
608 384,
608 416,
608 448,
576 448,
544 448,
512 448,
448 448,
480 448,
416 448,
384 448,
352 448,
320 448,
288 448,
256 448,
224 448,
192 448,
160 448,
128 448,
96 448,
64 448,
32 448,
0 448,
0 416,
0 384,
0 352,
0 320,
0 288,
0 256,
0 224,
0 192,
0 160,
0 96,
0 64,
0 32,
256 160,
224 160,
224 192,
224 256,
224 288,
256 288,
288 288,
320 288,
352 288,
352 256,
352 224,
352 192,
352 160,
320 160,
288 160,;
160 128,
160 192,
160 256,
160 320,
224 320,
160 64,
224 64,
288 64,
352 64,
416 64,
416 128,
416 192,
416 256,
416 320,
416 384,
160 288,
192 320,
160 224,
160 160,
160 96,
192 64,
256 64,
320 64,
384 64,
416 96,
416 160,
416 224,
416 288,
416 352,;
128 64,
96 64,
64 64,
64 96,
64 128,
64 160,
64 192,
64 288,
64 320,
64 352,
64 384,
96 384,
128 384,
160 384,
192 384,
224 384,
256 384,
288 384,
320 384,
352 384,
384 384,
448 384,
480 384,
512 384,
544 384,
544 352,
544 320,
544 288,
544 192,
544 160,
544 128,
544 96,
544 64,
512 64,
448 64,;
576 192,
32 192,
